kelime_1,kelime_2,iliski_turu
günden güne,gün günden,anlam içi
gündeş,çağdaş,yönlendirme
gündüzlü,yatısız,anlam içi
gündüzlü,nehari,anlam içi
gündüzsefası,kahkaha çiçeği,yönlendirme
güneğik,hindiba,yönlendirme
güneş,şems,anlam içi
güneşleme,güneşlenme,yönlendirme
güneşlemek,güneşlenmek,yönlendirme
güneşlik,siperlik,yönlendirme
güneştopu,Acem lalesi,yönlendirme
güneş enerjisi,güneş kolektörü,anlam içi
güneş hayvancıkları,günsüler,anlam içi
Güneş tacı,korona,anlam içi
Güneş tutulması,gün tutulması,anlam içi
Güneş tutulması,küsuf,anlam içi
güney,lodosluk,anlam içi
güney,kuzey karşıtı,anlam içi
güney karamanı,güney karaman koyunu,anlam içi
güney küre,güney yarım küre,yönlendirme
güne doğrulum,yönelim,yönlendirme
günlerce,günler günü,anlam içi
günlü,tarihli,yönlendirme
günlük,jurnal,anlam içi
günlük,muhtıra,anlam içi
günlük ağacı,sigala,anlam içi
günlük ağacı,sığla (Liquidambar orientalis),anlam içi
günlük defter,yevmiye defteri,anlam içi
günsüz,erkendoğan,yönlendirme
günü,kıskançlık,yönlendirme
günübirliğine,günübirlik,yönlendirme
günücü,kıskanç,yönlendirme
günücülük,kıskançlık,yönlendirme
günüleme,kıskanma,yönlendirme
günülemek,kıskanmak,yönlendirme
günün adamı,zamane adamı,anlam içi
gün batımı,gurup,anlam içi
gün gülü,gelincik,yönlendirme
gün ortası,öğle,yönlendirme
günâşık,ayçiçeği,yönlendirme
gün tün eşitliği,ılım,anlam içi
güpür,kumaş,yönlendirme
güreşçi,pehlivan,anlam içi
güreşçilik,pehlivanlık,anlam içi
güreşme,yıkışma,anlam içi
güreşmek,yıkışmak,anlam içi
gürgen,karagürgen (Carpinus betulus),anlam içi
gürlük,verimlilik,yönlendirme
gürültü,kavara,anlam içi
gürültücü,velveleci,anlam içi
gürültücü,kavaracı,anlam içi
gürültücülük,velvelecilik,anlam içi
gürültücülük,kavaracılık,anlam içi
gürültülü,tangırtılı,anlam içi
gürültülü patırtılı,şamatalı,anlam içi
gürültü patırtı,hengâm,anlam içi
gürültü patırtı,kıyamet,anlam içi
gürültü patırtı,şamata,anlam içi
gürültü patırtı,takatuka,anlam içi
gürül gürül,yalap yalap,anlam içi
güven,emniyet,anlam içi
güven,itimat,anlam içi
güvence,inanca,anlam içi
güvence,teminat,anlam içi
güvence,garanti,anlam içi
güvenceli,garantili,anlam içi
güvencesiz,garantisiz,anlam içi
güvencesizlik,garantisizlik,anlam içi
güvenilir,itimatlı,anlam içi
güvenilirlik,güvenirlik,anlam içi
güvenilirlik,kredibilite,anlam içi
güvenli,emin,anlam içi
güvenlik,emniyet,anlam içi
güvenlik şeridi,emniyet şeridi,anlam içi
güvenmek,itimat etmek,anlam içi
güvenmek,yaslanmak,anlam içi
güvensiz,itimatsız,anlam içi
güvensizlik,emniyetsizlik,anlam içi
güvensizlik,itimatsızlık,anlam içi
güven mektubu,itimat mektubu,anlam içi
güven mektubu,itimatname,anlam içi
güveyfeneri,gelin otu (Physalis alkekengi),anlam içi
güvez,güvezî,anlam içi
güya,sözde,yönlendirme
güz,sonbahar,yönlendirme
güzel,mis,anlam içi
güzel,güzellik kraliçesi,yönlendirme
güzelavrat otu,belladonna (Atropa belladonna),anlam içi
güzelhatun çiçeği,nergis zambağı,yönlendirme
güzellik,hüsün,anlam içi
güzel güzel,tatlı tatlı,yönlendirme
güzel sanatlar,sanayiinefise,anlam içi
güzel yazı sanatı,hüsnühat,anlam içi
güzel yazı sanatı,kaligrafi,anlam içi
güzide,seçkin,yönlendirme
güz çiğdemi,acı çiğdem,yönlendirme
gâvurca,gâvurcasına,anlam içi
"ğ, Ğ",küçük dil ünsüzü,anlam içi
hab,uyku,yönlendirme
habaset,kötülük,yönlendirme
habbe,zerre,yönlendirme
haber,çav,anlam içi
haber,selen,anlam içi
haber,yüklem,yönlendirme
haberci,ulak,anlam içi
haberci,karakulak,yönlendirme
haberdar,haberli,yönlendirme
haberleşme,iletişme,anlam içi
haberleşme,muhabere,anlam içi
haberleşme,enformasyon,anlam içi
haberleşme,iletişim,yönlendirme
haberleşme,yazışma,yönlendirme
haberleşmek,iletişmek,anlam içi
haberleşmek,muhabere etmek,anlam içi
habersizce,habersiz,anlam içi
habersizce,gizlice,anlam içi
habersizlik,bihaberlik,anlam içi
haber kipi,zaman,yönlendirme
habip,sevgili,yönlendirme
hacet,ihtiyaç,anlam içi
hacet,gereklilik,anlam içi
hacet,lüzum,anlam içi
hacet kapısı,hacet penceresi,anlam içi
hacet yeri,tuvalet,yönlendirme
hacılarkuşağı,gökkuşağı,yönlendirme
Hacılaryolu,Samanyolu,yönlendirme
Hacıyolu,Samanyolu,yönlendirme
hacı fışfış,hacı fitil,anlam içi
hacı fışfış,hacı kandil,anlam içi
hacim,oylum,anlam içi
hacim,sıygı,anlam içi
hacimli,oylumlu,anlam içi
hacimlice,oylumluca,anlam içi
hacimsiz,oylumsuz,anlam içi
hacir,kısıt,yönlendirme
hacizli,mahcuz,anlam içi
haç,istavroz,anlam içi
haç,put,anlam içi
haç,salip,anlam içi
had,sınır,yönlendirme
had,terim,yönlendirme
haddizatında,aslında,yönlendirme
hademe,hizmetli,yönlendirme
hademelik,hizmetlilik,yönlendirme
hadım,abelardize,anlam içi
hadım ağası,harem ağası,yönlendirme
hadi,haydi,yönlendirme
hadis,hadisişerif,anlam içi
hadise,olay,yönlendirme
hadiseli,olaylı,yönlendirme
hadisene,haydisene,yönlendirme
hadisesiz,olaysız,yönlendirme
hafakan,afakan,anlam içi
hafızlık mektebi,hafızlık okulu,yönlendirme
hafi,gizli,yönlendirme
hafif,yeğni,anlam içi
hafif,ağır karşıtı,anlam içi
hafifleme,yeğnilme,anlam içi
hafiflemek,yeğnilmek,anlam içi
hafifleşmek,kolaylaşmak,yönlendirme
hafifleşmek,yavaşlamak,yönlendirme
hafifleştirilme,hafifletilme,yönlendirme
hafifleştirilmek,hafifletilmek,yönlendirme
hafifleştirme,hafifletme,yönlendirme
hafifleştirmek,hafifletmek,yönlendirme
hafifletici sebep,hafifletici neden,anlam içi
hafifletme,yeğniltme,anlam içi
hafifletme,tahfif,anlam içi
hafifletmek,yeğniltmek,anlam içi
hafifletmek,tahfif etmek,anlam içi
hafiflik,yeğnilik,anlam içi
hafifseme,yeğnileme,anlam içi
hafifseme,yeğniseme,anlam içi
hafifseme,istihfaf,anlam içi
hafifsemek,yeğnilemek,anlam içi
hafifsemek,yeğnisemek,anlam içi
hafifsemek,istihfaf etmek,anlam içi
hafif güverte,tente güvertesi,anlam içi
hafif raylı sistem,modern dekovil,anlam içi
hafif sıklet,horoz ağırlık,anlam içi
hafif sıklet,horoz sıklet,anlam içi
hafi celse,kapalı oturum,yönlendirme
hafriyat,kazı,anlam içi
haftalıkçı,haftalıklı,anlam içi
hafta arası,hafta içi,yönlendirme
hail,engel,yönlendirme
hain,mayası bozuk,anlam içi
haince,haincesine,anlam içi
hainlik,hıyanet,yönlendirme
hak,pay,yönlendirme
hak,kazı,anlam içi
Hakaniye Türkçesi,Karahanlı Türkçesi,yönlendirme
hakaret,tahkir,anlam içi
Hakasça,Hakas Türkçesi,yönlendirme
hakem,yargıcı,anlam içi
hakemlik,yargıcılık,anlam içi
hakem heyeti,yargıcılar kurulu,anlam içi
hakem heyeti,jüri,anlam içi
hakikat,gerçek,yönlendirme
hakikat,gerçeklik,yönlendirme
hakikat,gerçekten,yönlendirme
hakikaten,gerçekten,yönlendirme
hakikatli,vefakâr,yönlendirme
hakikatsiz,vefasız,yönlendirme
hakikatsizlik,vefasızlık,yönlendirme
hakiki,gerçek,yönlendirme
hakkaniyet,nasfet,anlam içi
hakketme,kakma,yönlendirme
hakketmek,kakmak,yönlendirme
hakkıhıyar,seçme hakkı,yönlendirme
hakkıhuzur,huzur hakkı,yönlendirme
hakkımüktesep,kazanılmış hak,yönlendirme
hakkında,üzerine,anlam içi
hakkında,için,anlam içi
hakkısükût,sus payı,yönlendirme
hakkıyla,iyice,anlam içi
hakkâk,kakmacı,yönlendirme
haklı,muhik,anlam içi
hakperest,haksever,yönlendirme
hakperestlik,hakseverlik,yönlendirme
haksızca,haksızcasına,anlam içi
hakşinas,haktanır,yönlendirme
hakşinaslık,haktanırlık,yönlendirme
Hak dini,Müslümanlık,yönlendirme
hak ediş,istihkak,anlam içi
hak kısıtlaması,hak ihlali,yönlendirme
hak kuşu,bataklık baykuşu,yönlendirme
hal,eritme,yönlendirme
Halaçça,Halaç Türkçesi,yönlendirme
halalık,bibilik,anlam içi
halas,kurtuluş,yönlendirme
halaskâr,kurtarıcı,yönlendirme
hala oğlu,halazade,anlam içi
hale,ağıl,anlam içi
halef,ardıl,anlam içi
halef,selef karşıtı,anlam içi
halelendirme,halkalandırma,anlam içi
halelendirmek,halkalandırmak,anlam içi
Halep çıbanı,Şark çıbanı,yönlendirme
haliç,körfez,yönlendirme
halifelik,hilafet,anlam içi
halis,saf,yönlendirme
halisane,içtenlikle,yönlendirme
halis muhlis,tam anlamıyla,yönlendirme
halk,kamu,anlam içi
halk,yaratma,yönlendirme
halkamsı kıkırdak,yüzüksü kıkırdak,anlam içi
halkçı,popülist,anlam içi
halkçılık,popülizm,anlam içi
halkoyu,kamuoyu,yönlendirme
halk bilimi,halkiyat,anlam içi
halk matinesi,halk günü,yönlendirme
halk oylaması,plebisit,anlam içi
halk oylaması,referandum,anlam içi
halk ozanı,halk şairi,anlam içi
halk ozanı,saz şairi,anlam içi
halk ozanlığı,saz şairliği,anlam içi
halk şairliği,halk ozanlığı,yönlendirme
ham,idmansız,yönlendirme
hamal,sırtçı,anlam içi
hamal,taşıyıcı,anlam içi
hamal,yükçü,anlam içi
hamaliye,hamallık,yönlendirme
hamallık,sırtçılık,anlam içi
hamallık,taşıyıcılık,anlam içi
hamallık,yükçülük,anlam içi
hamam,ısıdam,anlam içi
hamam,sıcak,anlam içi
hamaylı,hamayıl,yönlendirme
Hamel,Koç Burcu,yönlendirme
hamhalat,görgüsüz,yönlendirme
hami,koruyucu,yönlendirme
hamile,gebe,yönlendirme
hamilelik,gebelik,yönlendirme
hamiyetli,hamiyetperver,anlam içi
hamlaç,üfleç,yönlendirme
hamlecilik,atılımcılık,yönlendirme
hamlık,idmansızlık,yönlendirme
hamule,yük,yönlendirme
hamurcu,hamurkâr,anlam içi
hamurculuk,hamurkârlık,anlam içi
hamursu,hamurumsu,anlam içi
hamur tahtası,senit,anlam içi
hanay,sofa,yönlendirme
hançere,gırtlak,yönlendirme
hançer çiçeği,Latin çiçeği,yönlendirme
handikap,engel,yönlendirme
handiyse,neredeyse,yönlendirme
hane,göz,anlam içi
hanende,şarkıcı,yönlendirme
hanendelik,şarkıcılık,anlam içi
hanendelik,okuyuculuk,anlam içi
hangi,ne,anlam içi
hanım,bayan,anlam içi
hanım,hatun,anlam içi
hanım,leydi,anlam içi
hanım,harem,anlam içi
hanımanne,kaynana,yönlendirme
hanım böceği,uğur böceği,yönlendirme
hap,komprime,anlam içi
hapır hupur,hapır hapır,anlam içi
hapis,cezaevi,anlam içi
hapis,hapishane,anlam içi
hapis,mahpus,yönlendirme
haploloji,hece tekleşmesi,yönlendirme
hapsedilmek,kapatılmak,anlam içi
hapsedilmek,tıkılmak,anlam içi
hapsetmek,kapamak,yönlendirme
hara,hare,yönlendirme
harabat,meyhane,yönlendirme
harabe,yıkı,anlam içi
harabe,kalıntı,yönlendirme
haram,yasak,yönlendirme
harami,haydut,yönlendirme
haramilik,haydutluk,yönlendirme
haramzade,piç,yönlendirme
harap,yıkkın,anlam içi
harap,viran,anlam içi
haraplık,yıkkınlık,anlam içi
haraplık,harabi,anlam içi
haraplık,harabilik,anlam içi
haraplık,harabiyet,anlam içi
hararet,sıcaklık,yönlendirme
harbe,harbi,yönlendirme
harbiye,harp okulu,yönlendirme
harcama,sarf,anlam içi
harcamak,sarf etmek,anlam içi
harcırah,yolluk,yönlendirme
hardal,siyah hardal (Brassica nigra),anlam içi
hardalsı,hardalımsı,anlam içi
hare,meneviş,anlam içi
harekeleme,harekelendirme,anlam içi
harekelemek,harekelendirmek,anlam içi
hareketli,oynak,anlam içi
hareketli,müteharrik,anlam içi
hareketli,mobilize,anlam içi
hareket hastalığı,taşıt tutması,anlam içi
harelenme,menevişlenme,anlam içi
harelenmek,menevişlenmek,anlam içi
hareli,menevişli,anlam içi
harem ağası,tavaşi,anlam içi
haresiz,menevişsiz,anlam içi
Harezmce,Harezm Türkçesi,yönlendirme
harf,kod,anlam içi
harfitarif,tanımlık,yönlendirme
harfi harfine,harfiyen,anlam içi
harharalı,horultulu,yönlendirme
harıldamak,yanmak,yönlendirme
harın,obur,yönlendirme
harikulade,olağanüstü,yönlendirme
harikuladelik,olağanüstülük,yönlendirme
harir,ipek,yönlendirme
haritacı,kartograf,anlam içi
haritacılık,kartografi,anlam içi
haritacılık,kartografya,anlam içi
harlatma,harlandırma,anlam içi
harlatmak,harlandırmak,anlam içi
harmani,harmaniye,anlam içi
harmanlık,harman yeri,yönlendirme
harmoni,uyum,yönlendirme
harnup,keçiboynuzu,yönlendirme
harp,savaş,yönlendirme
hars,kültür,yönlendirme
hartuç,kartuş,yönlendirme
has,özgü,yönlendirme
has,saf,yönlendirme
hasbihâl,sohbet,yönlendirme
hasbilik,gönüllülük,yönlendirme
hasebiyle,sebebiyle,yönlendirme
haset,kıskançlık,yönlendirme
haset,kıskanç,yönlendirme
hasetçi,kıskanç,yönlendirme
hasetlenme,kıskanma,yönlendirme
hasetlenmek,kıskanmak,yönlendirme
hasetli,kıskanç,yönlendirme
hasetlik,kıskançlık,yönlendirme
hasılat,ürün,yönlendirme
hasılat,gelir,yönlendirme
hasılı,kısacası,yönlendirme
hasılıkelam,kısacası,yönlendirme
hasır demir,hasır çelik,yönlendirme
hasır otu,su kamışı,anlam içi
hasır otu,kofa,anlam içi
hasır otu,kiliz,anlam içi
hasır otu,kova (II) (Typha),anlam içi
hasiyet,özellik,yönlendirme
hasret,özlem,yönlendirme
hasretli,özlemli,yönlendirme
hasretlilik,özlemlilik,yönlendirme
hasretsiz,özlemsiz,yönlendirme
hasretsizlik,özlemsizlik,yönlendirme
hassa,özellik,yönlendirme
hassas,keskin,anlam içi
hassaten,özellikle,yönlendirme
hasta,rahatsız,anlam içi
hasta,sayrı,anlam içi
hasta,sökel,anlam içi
hasta,pestil,anlam içi
hastalanmak,rahatsızlanmak,anlam içi
hastalanmak,hasta olmak,anlam içi
hastalık,rahatsızlık,anlam içi
hastalık,sayrılık,anlam içi
hastalık,illet,anlam içi
hastalık,maraz,anlam içi
hastalık,maraza,anlam içi
hastalık,zor,anlam içi
hastalık,esenlik karşıtı,anlam içi
hastalıklı,öksürüklü,anlam içi
hastalıklı,mariz,anlam içi
hastane,sayrılarevi,anlam içi
hastane,şifahane,anlam içi
hasut,kıskanç,yönlendirme
haşır haşır,haşır huşur,yönlendirme
haşmet,görkem,yönlendirme
haşmetli,görkemli,yönlendirme
haşmetlilik,görkemlilik,yönlendirme
hat,yazı,yönlendirme
hat,kanal,yönlendirme
hata,yanlış,yönlendirme
hata,yanlışlık,yönlendirme
hatalı yürüme,steps,anlam içi
hatıra,yadigâr,anlam içi
hatıra defteri,anı defteri,yönlendirme
hatırlatıverme,anımsatıverme,yönlendirme
hatırlatıvermek,anımsatıvermek,yönlendirme
hatırlı,saygın,yönlendirme
hatır hatır,hatır hutur,yönlendirme
hatime,son,yönlendirme
hatime,son söz,yönlendirme
hatip,konuşmacı,yönlendirme
hatiplik,konuşmacılık,yönlendirme
hatmi,ağaçküpesi (Althaea officinalis),anlam içi
hatta,velev ki,anlam içi
hatun,kadın,yönlendirme
hav,ülger,anlam içi
hava,gökyüzü,yönlendirme
hava,esinti,yönlendirme
hava,üslup,yönlendirme
hava,çekicilik,yönlendirme
havadar,yeleken,anlam içi
havadar,yeleç,anlam içi
havai,uçarı,anlam içi
havai,yeleme,anlam içi
havale,havalename,anlam içi
havalı,havadar,anlam içi
havalı,çalımlı,yönlendirme
havali,yöre,yönlendirme
havalimanı,hava meydanı,anlam içi
havan,havan topu,yönlendirme
havari,yardımcı,yönlendirme
hava atışı,başlama atışı,anlam içi
hava bilgisi,meteoroloji,yönlendirme
hava değişimi,hava tebdili,anlam içi
hava değişimi,tebdilihava,anlam içi
hava deliği,nefeslik,anlam içi
hava durumu,hava şartları,anlam içi
hava gazı sayacı,gaz sayacı,yönlendirme
hava gemisi,zeplin,anlam içi
hava haritası,sinoptik harita,anlam içi
hava kesesi,yüzme kesesi,anlam içi
hava küre,hava yuvarı,yönlendirme
hava parası,peştamallık,anlam içi
hava raporu,hava tahmini,yönlendirme
hava taşı,gök taşı,yönlendirme
hava taşıtı,hava aracı,anlam içi
hava ulaşımı,hava yolu ulaşımı,yönlendirme
havlama,ürüme,anlam içi
havlamak,ürümek,anlam içi
havlu,silgi,anlam içi
havra,sinagog,yönlendirme
havsala,leğen,yönlendirme
havuç,pürçekli,anlam içi
havuç,yeregeçen (Daucus carota),anlam içi
Havva,Havva Ana,anlam içi
havvaanaeli,fatmaanaeli,anlam içi
havvaanaeli,meryemanaeli,anlam içi
havvaanaeli,mercananaeli (Anastatica hierochuntia),anlam içi
havza,tekne,anlam içi
haya,taşak,yönlendirme
hayal,imge,anlam içi
hayal,hülya,anlam içi
hayal,gölge,anlam içi
hayal,görüntü,yönlendirme
hayalbaz,Karagözcü,yönlendirme
hayalci,ütopist,anlam içi
hayalci,karagözcü,yönlendirme
hayalci,hayalperest,anlam içi
hayalci,hayalperver,anlam içi
hayalcilik,hayalperestlik,anlam içi
hayalcilik,hayalperverlik,anlam içi
hayalet,görüntü,anlam içi
hayalî,ütopik,anlam içi
hayalî,Karagözcü,yönlendirme
hayal dünyası,hayal âlemi,anlam içi
hayal gücü,muhayyile,anlam içi
hayal gücü,imgelem,yönlendirme
hayal kırıklığı,inkisarıhayal,anlam içi
hayal kırıklığı,sukutuhayal,anlam içi
hayat,yaşam,yönlendirme
hayat,yaşantı,yönlendirme
hayat,yazgı,yönlendirme
hayatağacı,soyağacı,yönlendirme
hayati,yaşamsal,anlam içi
hayatiyet,yaşarlık,anlam içi
hayat dolu,yaşam dolu,anlam içi
hayat hikâyesi,hayat öyküsü,anlam içi
hayat kadını,kaldırım çiçeği,anlam içi
hayat kavgası,hayat mücadelesi,yönlendirme
hayat mücadelesi,yaşam kavgası,anlam içi
hayat sigortası,yaşam güvencesi,anlam içi
hayat sigortası,yaşam sigortası,anlam içi
hayat standardı,yaşam standardı,anlam içi
hayat tarzı,yaşayış biçimi,anlam içi
haydamak,dehlemek,anlam içi
haydi,haydi haydi,yönlendirme
haydut,şaki,anlam içi
haydutluk,şakilik,anlam içi
haydutluk,şekavet,anlam içi
hayırhah,hayırsever,yönlendirme
hayırhahlık,hayırseverlik,yönlendirme
hayırperver,hayırsever,yönlendirme
hayırsever,iyicil,anlam içi
hayırsever,vergili,anlam içi
hayırsever,yardımsever,anlam içi
hayırseverlik,yardımseverlik,anlam içi
hayırseverlik,hayırperverlik,anlam içi
hayıt,ayıt,yönlendirme
haykırı,haykırma,yönlendirme
haykırış,haykırma,yönlendirme
haymana,tembel,yönlendirme
haymana mandası,haymana öküzü,yönlendirme
haymatlos,vatansız,yönlendirme
haysiyet,saygınlık,yönlendirme
haysiyet,öz saygı,yönlendirme
haysiyetiyle,sebebiyle,yönlendirme
haysiyetli,onurlu,yönlendirme
haysiyetsiz,onursuz,yönlendirme
haysiyetsizlik,onursuzluk,yönlendirme
haysiyet divanı,onur kurulu,yönlendirme
hayvanat,hayvan bilimi,yönlendirme
hayvanca,hayvani,anlam içi
hayvanca,hayvancasına,anlam içi
hayvancağız,hayvancık,anlam içi
hayvani,hayvansal,yönlendirme
hayvaniyet,hayvanlık,yönlendirme
hayvani yağ,hayvansal yağ,yönlendirme
hayvansı,hayvanımsı,anlam içi
hayvan bilimci,zoolog,anlam içi
hayvan bilimi,zooloji,anlam içi
hayâ,utanma,yönlendirme
hayâsızca,hayâsızcasına,anlam içi
hazakat,uzluk,yönlendirme
hazan,sonbahar,yönlendirme
Hazarca,Hazar Türkçesi,yönlendirme
hazcı,hedonist,anlam içi
hazcılık,hedonizm,anlam içi
hazık,usta,yönlendirme
hazım,sindirim,yönlendirme
hazır,müheyya,anlam içi
hazırlama,istihzar,anlam içi
hazırlamak,kotarmak,anlam içi
hazırlamak,kurmak,anlam içi
hazırlık,tedarik,anlam içi
hazırlık,hazırlık sınıfı,yönlendirme
hazırlıklı,tedarikli,anlam içi
hazırlıksız,tedariksiz,anlam içi
hazırlık dönemi,hazırlık devresi,anlam içi
hazin,hüzünlü,yönlendirme
hazine,hazne,anlam içi
hazine,kaynak,yönlendirme
hazmetmek,sindirmek,yönlendirme
hazzetme,hoşlanma,yönlendirme
hazzetmek,hoşlanmak,yönlendirme
heccav,yergici,yönlendirme
hece,seslem,anlam içi
hece,hece ölçüsü,yönlendirme
hece ölçüsü,parmak hesabı,anlam içi
hece ölçüsü,hece vezni,anlam içi
hece taşı,mezar taşı,yönlendirme
hece yutumu,hece tekleşmesi,yönlendirme
hedef,nişangâh,anlam içi
hedef,uğur,anlam içi
hekim,tabip,anlam içi
hekimlik,tabiplik,anlam içi
hela,tuvalet,yönlendirme
hele,özellikle,yönlendirme
helecan,kalp çarpıntısı,yönlendirme
helezoni,sarmal,yönlendirme
helezonlu,sarmal,yönlendirme
helikopter pisti,heliport,anlam içi
helisel,sarmal,yönlendirme
helmintoloji,kurt bilimi,yönlendirme
helvacı kabağı,kestane kabağı (Cucurbita maxima),anlam içi
helvacı kökü,çöven,yönlendirme
hematit,kan taşı,yönlendirme
hematolog,kan bilimci,yönlendirme
hematoloji,kan bilimi,yönlendirme
hemen,çabucak,yönlendirme
hemencecik,çabucak,yönlendirme
hemhudut,sınırdaş,yönlendirme
hempa,omuzdaş,yönlendirme
hemşehri,memleketli,yönlendirme
hemşehrilik,memleketlilik,yönlendirme
hemşire,şvester,anlam içi
hendese,geometri,yönlendirme
hendesi,geometrik,yönlendirme
hengâm,zaman,yönlendirme
hengâme,gürültü patırtı,yönlendirme
hentbol,el topu,anlam içi
hepatit,sarılık,yönlendirme
hepsi,cemi cümlesi,anlam içi
hepsi,topu,anlam içi
hepten,tamamen,yönlendirme
herbivor,otobur,yönlendirme
hercai,yeltek,anlam içi
hercai,gelgeç,anlam içi
hercai menekşe,alacamenekşe (Viola tricolor),anlam içi
herek,sırık,yönlendirme
herekleme,sırıklama,yönlendirme
hereklemek,sırıklamak,yönlendirme
herhâlde,yalım,anlam içi
herhâlde,herhâl,anlam içi
herkes,cemi cümle,anlam içi
herkes,yediden yetmişe,anlam içi
herkes,yedi mahalle,anlam içi
herkes,yedi düvel,anlam içi
hermetik,yalıtımlı,yönlendirme
her daim,her zaman,yönlendirme
her gün,günde,anlam içi
her zaman,her dem,anlam içi
hesabi,hesapçı,yönlendirme
hesap,hesap pusulası,anlam içi
hesapçılık,hesabilik,anlam içi
hesaplı,hesaplıca,anlam içi
hesaplı,tutumlu,yönlendirme
hesapsız,ölçüsüz,anlam içi
hesapsız,plansız,anlam içi
hesapsız,tutumsuz,yönlendirme
hesap günü,kıyamet,yönlendirme
hesap özeti,ekstre,anlam içi
heves,istek,yönlendirme
heveskâr,istekli,yönlendirme
heveskârlık,isteklilik,yönlendirme
hevesleniş,istekleniş,yönlendirme
heveslenme,isteklenme,yönlendirme
heveslenmek,isteklenmek,yönlendirme
hevesli,istekli,yönlendirme
hevessiz,isteksiz,yönlendirme
heyecan,teheyyüç,anlam içi
heyecanlandırma,tehyiç,anlam içi
heyecanlı,müteheyyiç,anlam içi
heyelan,toprak kayması,yönlendirme
heyet,kurul,yönlendirme
heyetiyle,tamamen,yönlendirme
heykel,yontu,anlam içi
heykel,statü,anlam içi
heykelci,heykeltıraş,anlam içi
heykelci,yontucu,anlam içi
heykelcilik,heykeltıraşlık,anlam içi
heykelcilik,yontuculuk,anlam içi
hezar,bülbül,yönlendirme
hezaren,saray çiçeği,yönlendirme
hezaren,bambu,yönlendirme
hezeyan,saçmalama,yönlendirme
hezeyan,sayıklama,yönlendirme
hezeyan,sabuklanma,yönlendirme
hıfız,saklama,yönlendirme
hıfzıssıhha,sağlık bilgisi,yönlendirme
hınzır,domuz,yönlendirme
hınzırca,hınzırcasına,anlam içi
hınzırlık,muziplik,yönlendirme
hırıldaşma,hırlaşma,yönlendirme
hırıldaşmak,hırlaşmak,yönlendirme
hırıltı,harhara,anlam içi
hırıltılı,harharalı,anlam içi
hırızmalı,hızmalı,yönlendirme
hırpalamak,örselemek,yönlendirme
hırs,öfke,yönlendirme
hırsız,uğru,anlam içi
hırsızca,hırsızcasına,anlam içi
hırsızlık,sirkat,anlam içi
hırsızlık,uğruluk,anlam içi
hırsız anahtarı,maymuncuk,yönlendirme
hırslı,muhteris,anlam içi
hırslı,öfkeli,yönlendirme
hırslılık,muhterislik,anlam içi
hırtapoz,zıpır,yönlendirme
hırtapozluk,zıpırlık,yönlendirme
hısım,yan soy,anlam içi
hısımlık,karabet,anlam içi
hışım,öfke,yönlendirme
hıyanet,hıyanetlik,anlam içi
hıyar,salatalık,anlam içi
hıyarağa,hıyarağası,yönlendirme
hıyarşembe,Hint hıyarı (Cassia fistula),anlam içi
hız,sürat,anlam içi
hızlı,seri,anlam içi
hızlı,süratli,anlam içi
hızlı,şiddetli,anlam içi
hızlılık,süratlilik,anlam içi
hızlı akın,hızlı hücum,yönlendirme
hızma,hırızma,anlam içi
hızölçer,takograf,anlam içi
hızölçer,takometre,anlam içi
hızölçer,takigraf,anlam içi
hibritleşme,melezleşme,yönlendirme
hicap,utanma,yönlendirme
hicap,perde,yönlendirme
hiciv,yergi,yönlendirme
hicviye,yergi,yönlendirme
hiççi,nihilist,yönlendirme
hiççilik,nihilizm,yönlendirme
hiçlik,yokluk,anlam içi
hiddet,öfke,yönlendirme
hiddetlendirme,öfkelendirme,yönlendirme
hiddetlendirmek,öfkelendirmek,yönlendirme
hiddetleniş,öfkeleniş,yönlendirme
hiddetlenme,öfkelenme,yönlendirme
hiddetlenmek,öfkelenmek,yönlendirme
hiddetli,öfkeli,yönlendirme
hiddetlilik,öfkelilik,yönlendirme
hiddetsizlik,öfkesizlik,yönlendirme
hidiv,vezir,yönlendirme
hidrofil,sucul,yönlendirme
hidrofil,su böceği,yönlendirme
hidrofobi,su korkusu,yönlendirme
hidrofor,subasar,yönlendirme
hidrografi,su bilgisi,yönlendirme
hidrojen,müvellidülma (simgesi H),anlam içi
hidrokarbon,hidrokarbür,anlam içi
hidroklorik asit,tuz ruhu (HCl),anlam içi
hidrolog,su bilimci,yönlendirme
hidroloji,su bilimi,yönlendirme
hidrometre,suölçer,yönlendirme
hidrosfer,su yuvarı,yönlendirme
hidroterapi,su tedavisi,yönlendirme
higrofil,nemcil,yönlendirme
higrometre,nemölçer,yönlendirme
higroskop,nemçeker,yönlendirme
higroskopik,nemçeker,yönlendirme
higrostat,nemdenetir,yönlendirme
higrotropizm,neme yönelim,yönlendirme
hijyen,sağlık bilgisi,yönlendirme
hijyen,temiz,yönlendirme
hijyenik,sağlıklı,yönlendirme
hijyenik,temiz,yönlendirme
hikâye,boy,anlam içi
hikâye,öykü,anlam içi
hikâye,çıkış özeti,anlam içi
hikâye,epikriz,anlam içi
hikâyeci,öykücü,anlam içi
hikâyecilik,öykücülük,anlam içi
hilaf,yalan,yönlendirme
hilal,yeni ay,anlam içi
hilat,kaftan,yönlendirme
hile,oyun,anlam içi
hile,nakış,anlam içi
hilebaz,hileci,yönlendirme
hileci,dolmacı,anlam içi
hileci,oyuncu,anlam içi
hileci,hilekâr,anlam içi
